05.09:23.24.19 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.09:23.30.20  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:23.36.57  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:23.36.59  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:44 - loadListPositive:
05.09:23.36.59  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.09:23.36.59 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.09:23.36.59 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.09:23.40.20  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:23.40.22  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:44 - loadListPositive:
05.09:23.40.22  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.09:23.40.22 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.09:23.40.22 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.09:23.45.46  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:23.45.47  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:44 - loadListPositive:
05.09:23.45.47  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.09:23.45.47 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.09:23.45.47 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.09:23.47.28  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:23.47.30  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:44 - loadListPositive:
05.09:23.47.30  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.09:23.47.30 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.09:23.47.30 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.09:23.47.30 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
05.09:23.47.30 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.09:23.48.46  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:23.48.48  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:44 - loadListPositive:
05.09:23.48.48  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.09:23.48.48 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.09:23.48.48 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.09:23.48.48 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
05.09:23.48.48 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.10:00.01.20  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.01.22  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:44 - loadListPositive:
05.10:00.01.22  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.10:00.01.22 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.10:00.01.22 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.10:00.01.22 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
05.10:00.01.22 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.10:00.14.57  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.14.59  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:113 - addRecordPositive:
05.10:00.14.59 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
05.10:00.14.59 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.10:00.14.59  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.10:00.14.59 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.10:00.14.59 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.10:00.14.59 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
05.10:00.14.59 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.10:00.14.59  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.14.59  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:91 - updateRecordPositive:
05.10:00.14.59  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.10:00.14.59 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.10:00.14.59 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:101 - updateRecordNegative:
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:78 - deleteRecordPositive:
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
